Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2015-16,1,Leicester City,38,23,12,3,68,36,32,81,Qualification for the Champions League group stage
2015-16,2,Arsenal,38,20,11,7,65,36,29,71,Qualification for the Champions League group stage
2015-16,3,Tottenham Hotspur,38,19,13,6,69,35,34,70,Qualification for the Champions League group stage
2015-16,4,Manchester City,38,19,9,10,71,41,30,66,Qualification for the Champions League play-off round
2015-16,5,Manchester United,38,19,9,10,49,35,14,66,Qualification for the Europa League group stage[a]
2015-16,6,Southampton,38,18,9,11,59,41,18,63,Qualification for the Europa League group stage[a]
2015-16,7,West Ham United,38,16,14,8,65,51,14,62,Qualification for the Europa League third qualifying round[b]
2015-16,8,Liverpool,38,16,12,10,63,50,13,60,Not Applicable
2015-16,9,Stoke City,38,14,9,15,41,55,-14,51,Not Applicable
2015-16,10,Chelsea,38,12,14,12,59,53,6,50,Not Applicable
2015-16,11,Everton,38,11,14,13,59,55,4,47,Not Applicable
2015-16,12,Swansea City,38,12,11,15,42,52,-10,47,Not Applicable
2015-16,13,Watford,38,12,9,17,40,50,-10,45,Not Applicable
2015-16,14,West Bromwich Albion,38,10,13,15,34,48,-14,43,Not Applicable
2015-16,15,Crystal Palace,38,11,9,18,39,51,-12,42,Not Applicable
2015-16,16,Bournemouth,38,11,9,18,45,67,-22,42,Not Applicable
2015-16,17,Sunderland,38,9,12,17,48,62,-14,39,Not Applicable
2015-16,18,Newcastle United,38,9,10,19,44,65,-21,37,Relegation to the EFL Championship
2015-16,19,Norwich City,38,9,7,22,39,67,-28,34,Relegation to the EFL Championship
2015-16,20,Aston Villa,38,3,8,27,27,76,-49,17,Relegation to the EFL Championship
2016-17,1,Chelsea,38,30,3,5,85,33,52,93,Qualification for the Champions League group stage
2016-17,2,Tottenham Hotspur,38,26,8,4,86,26,60,86,Qualification for the Champions League group stage
2016-17,3,Manchester City,38,23,9,6,80,39,41,78,Qualification for the Champions League group stage
2016-17,4,Liverpool,38,22,10,6,78,42,36,76,Qualification for the Champions League play-off round
2016-17,5,Arsenal,38,23,6,9,77,44,33,75,Qualification for the Europa League group stage[a]
2016-17,6,Manchester United,38,18,15,5,54,29,25,69,Qualification for the Champions League group stage[b]
2016-17,7,Everton,38,17,10,11,62,44,18,61,Qualification for the Europa League third qualifying round[c]
2016-17,8,Southampton,38,12,10,16,41,48,-7,46,Not Applicable
2016-17,9,Bournemouth,38,12,10,16,55,67,-12,46,Not Applicable
2016-17,10,West Bromwich Albion,38,12,9,17,43,51,-8,45,Not Applicable
2016-17,11,West Ham United,38,12,9,17,47,64,-17,45,Not Applicable
2016-17,12,Leicester City,38,12,8,18,48,63,-15,44,Not Applicable
2016-17,13,Stoke City,38,11,11,16,41,56,-15,44,Not Applicable
2016-17,14,Crystal Palace,38,12,5,21,50,63,-13,41,Not Applicable
2016-17,15,Swansea City,38,12,5,21,45,70,-25,41,Not Applicable
2016-17,16,Burnley,38,11,7,20,39,55,-16,40,Not Applicable
2016-17,17,Watford,38,11,7,20,40,68,-28,40,Not Applicable
2016-17,18,Hull City,38,9,7,22,37,80,-43,34,Relegation to the EFL Championship
2016-17,19,Middlesbrough,38,5,13,20,27,53,-26,28,Relegation to the EFL Championship
2016-17,20,Sunderland,38,6,6,26,29,69,-40,24,Relegation to the EFL Championship
2017-18,1,Manchester City,38,32,4,2,106,27,79,100,Qualification for the Champions League group stage
2017-18,2,Manchester United,38,25,6,7,68,28,40,81,Qualification for the Champions League group stage
2017-18,3,Tottenham Hotspur,38,23,8,7,74,36,38,77,Qualification for the Champions League group stage
2017-18,4,Liverpool,38,21,12,5,84,38,46,75,Qualification for the Champions League group stage
2017-18,5,Chelsea,38,21,7,10,62,38,24,70,Qualification for the Europa League group stage[a]
2017-18,6,Arsenal,38,19,6,13,74,51,23,63,Qualification for the Europa League group stage[a]
2017-18,7,Burnley,38,14,12,12,36,39,-3,54,Qualification for the Europa League second qualifying round[a]
2017-18,8,Everton,38,13,10,15,44,58,-14,49,Not Applicable
2017-18,9,Leicester City,38,12,11,15,56,60,-4,47,Not Applicable
2017-18,10,Newcastle United,38,12,8,18,39,47,-8,44,Not Applicable
2017-18,11,Crystal Palace,38,11,11,16,45,55,-10,44,Not Applicable
2017-18,12,Bournemouth,38,11,11,16,45,61,-16,44,Not Applicable
2017-18,13,West Ham United,38,10,12,16,48,68,-20,42,Not Applicable
2017-18,14,Watford,38,11,8,19,44,64,-20,41,Not Applicable
